random_sampler_compression,space_based_compression,voxel_based_compression,percentage_of_minor_classes_retained
0.74,0.925,0.125,0.59
0.39,0.725,0.725,0.56
0.34,0.425,0.825,0.5
0.42,0.225,0.425,0.38
0.63,0.425,0.625,0.59
0.39,0.925,0.725,0.6
0.33,0.125,0.325,0.29
0.76,0.125,0.225,0.47
0.76,0.325,0.725,0.66
0.37,0.625,0.125,0.35
0.71,0.725,0.725,0.72
0.34,0.125,0.525,0.35
0.31,0.425,0.825,0.49
0.32,0.925,0.325,0.44
0.38,0.525,0.525,0.45
0.43,0.625,0.625,0.53
0.58,0.825,0.425,0.58
0.46,0.725,0.325,0.47
0.41,0.325,0.925,0.55
0.62,0.925,0.725,0.71
0.6,0.825,0.725,0.68
0.41,0.725,0.525,0.51
0.41,0.325,0.425,0.4
0.69,0.525,0.225,0.52
0.68,0.525,0.425,0.57
0.55,0.525,0.925,0.66
0.34,0.425,0.625,0.44
0.57,0.325,0.425,0.48
0.75,0.825,0.425,0.67
0.4,0.225,0.125,0.28
0.58,0.725,0.625,0.62
0.58,0.225,0.425,0.46
0.59,0.525,0.825,0.65
0.37,0.725,0.525,0.49
0.76,0.625,0.525,0.66
0.59,0.525,0.125,0.44
0.32,0.325,0.325,0.32
0.4,0.825,0.725,0.58
0.38,0.625,0.725,0.53
0.65,0.225,0.325,0.47
0.65,0.525,0.325,0.53
0.45,0.925,0.225,0.48
0.47,0.425,0.325,0.42
0.34,0.125,0.825,0.44
0.39,0.325,0.125,0.3
0.39,0.825,0.625,0.55
0.6,0.425,0.125,0.42
0.67,0.325,0.825,0.65
0.47,0.625,0.325,0.46
0.57,0.425,0.325,0.47
0.61,0.225,0.525,0.51
0.7,0.325,0.225,0.48
0.59,0.525,0.325,0.5
0.61,0.725,0.725,0.67
0.63,0.925,0.725,0.72
0.36,0.525,0.425,0.41
0.48,0.425,0.925,0.6
0.44,0.625,0.625,0.53
0.66,0.425,0.325,0.51
0.68,0.825,0.125,0.54
0.53,0.125,0.225,0.36
0.54,0.725,0.125,0.45
0.53,0.925,0.725,0.67
0.74,0.725,0.625,0.7
0.57,0.225,0.725,0.55
0.59,0.725,0.425,0.57
0.71,0.425,0.425,0.57
0.65,0.825,0.725,0.71
0.73,0.125,0.825,0.64
0.77,0.425,0.625,0.66
0.6,0.425,0.225,0.45
0.34,0.625,0.625,0.48
0.42,0.125,0.825,0.48
0.69,0.125,0.125,0.41
0.74,0.925,0.325,0.65
0.66,0.225,0.525,0.53
0.36,0.725,0.525,0.48
0.65,0.525,0.325,0.53
0.69,0.225,0.225,0.46
0.64,0.325,0.625,0.57
0.58,0.625,0.225,0.48
0.37,0.325,0.225,0.32
0.75,0.125,0.225,0.47
0.33,0.725,0.425,0.44
0.56,0.225,0.925,0.6
0.42,0.825,0.525,0.53
0.48,0.325,0.925,0.58
0.31,0.525,0.925,0.54
0.75,0.225,0.625,0.61
0.67,0.125,0.225,0.43
0.37,0.425,0.525,0.43
0.42,0.725,0.825,0.6
0.56,0.125,0.925,0.58
0.64,0.825,0.925,0.76
0.65,0.725,0.725,0.69
0.71,0.625,0.325,0.58
0.76,0.225,0.625,0.61
0.66,0.925,0.425,0.64
0.65,0.925,0.225,0.58
0.42,0.325,0.225,0.34
0.62,0.725,0.625,0.64
0.32,0.525,0.325,0.36
0.44,0.925,0.725,0.62
0.52,0.825,0.725,0.64
0.49,0.625,0.525,0.53
0.67,0.525,0.525,0.6
0.43,0.125,0.625,0.43
0.46,0.425,0.625,0.5
0.57,0.525,0.125,0.43
0.46,0.125,0.325,0.35
0.52,0.225,0.625,0.49
0.37,0.925,0.325,0.47
0.64,0.925,0.725,0.72
0.61,0.225,0.925,0.63
0.38,0.925,0.625,0.56
0.46,0.725,0.525,0.53
0.44,0.825,0.325,0.48
0.31,0.725,0.525,0.46
0.8,0.225,0.725,0.66
0.42,0.625,0.925,0.61
0.52,0.125,0.325,0.38
0.33,0.825,0.425,0.46
0.77,0.425,0.225,0.54
0.45,0.925,0.425,0.54
0.72,0.525,0.925,0.74
0.49,0.825,0.525,0.57
0.35,0.625,0.625,0.49
0.52,0.925,0.225,0.51
0.72,0.225,0.225,0.47
0.6,0.625,0.825,0.67
0.48,0.725,0.125,0.42
0.77,0.225,0.825,0.68
0.44,0.425,0.325,0.4
0.8,0.325,0.125,0.5
0.68,0.225,0.625,0.57
0.59,0.625,0.525,0.58
0.31,0.725,0.525,0.46
0.68,0.625,0.825,0.71
0.7,0.525,0.725,0.67
0.62,0.425,0.325,0.49
0.41,0.225,0.425,0.38
